gen,AVG,STD,MIN,MAX
472,0.0804184,0.006264567,0.067261233,0.0894352
473,0.0865437,0.004103457,0.074748967,0.092569767
474,0.141322333,0.005781903,0.125285667,0.14752
475,0.147851,0.004223093,0.136916,0.152140667
476,0.151050333,0.003436259,0.135009667,0.153475667
477,0.127353,0.012837667,0.105965233,0.147613667
478,0.146625,0.011922547,0.119193667,0.172988333
479,0.164468,0.010907693,0.139960667,0.178794333
480,0.117726667,0.009067753,0.096792433,0.137694333
481,0.129857333,0.009105577,0.104386367,0.138504667
482,0.136828667,0.00516162,0.112395333,0.14443
483,0.075555733,0.00336553,0.071473767,0.082461333
484,0.080711933,0.005220367,0.066736,0.087559333
485,0.086432967,0.004644987,0.075252967,0.095325433
486,0.087866133,0.003932827,0.081792233,0.0944313
487,0.092585633,0.003540547,0.0840791,0.096836433
488,0.096207,0.00279889,0.089013067,0.101216733
489,0.133782667,0.004990323,0.123545,0.145516667
490,0.139613,0.005438113,0.134501,0.150147
491,0.146011,0.00464552,0.134501,0.150688667
492,0.120486333,0.003844087,0.110075333,0.127861
493,0.122945,0.003698507,0.106344,0.127861
494,0.126306333,0.002696156,0.119728333,0.131153667
495,0.109359667,0.001516315,0.100758,0.110850333
496,0.109624,0.00221797,0.0993907,0.110850333
497,0.112157,0.003997863,0.103103267,0.120079333
498,0.146110333,0.01047448,0.130995333,0.162036667
499,0.162941,0.01138792,0.143327667,0.190007
500,0.179142667,0.011468053,0.156041333,0.192982
501,0.131136333,0.011005177,0.100262433,0.144153667
502,0.139685333,0.005261367,0.120816,0.145781
503,0.144368,0.00298434,0.135968667,0.147842667
504,0.154352333,0.01170572,0.129410667,0.165430667
505,0.165475667,0.005624397,0.153868667,0.178357
506,0.174579,0.005889823,0.163499333,0.181593333
507,0.069988667,0.006936997,0.0434579,0.0771893
508,0.075384433,0.003173393,0.0634042,0.078252133
509,0.078936767,0.003070077,0.0739567,0.087476567
510,0.0762668,0.00483244,0.068074767,0.0863267
511,0.082120167,0.004230123,0.070903967,0.087156133
512,0.086030533,0.003268147,0.078436267,0.0910678
513,0.125954,0.015252733,0.101853667,0.152051333
514,0.146467667,0.009608573,0.120657667,0.161356333
515,0.159835667,0.007994717,0.137962,0.169818667
516,0.065276033,0.009677803,0.045226833,0.0798474
517,0.076448433,0.005706963,0.0598841,0.082615433
518,0.0819842,0.003017097,0.0720526,0.0872854
519,0.112870333,0.00887504,0.0972488,0.123252333
520,0.121630667,0.005729377,0.106463,0.127101333
521,0.125459,0.002418127,0.117506333,0.127986
522,0.139887333,0.008623103,0.125052333,0.155788333
523,0.153342667,0.007750597,0.133030667,0.165297667
524,0.164292,0.00655267,0.149193667,0.180177667
525,0.163966,0.010027903,0.141474667,0.183118333
526,0.175433667,0.009279223,0.153638333,0.186669667
527,0.184364667,0.00651857,0.161608667,0.196711333
528,0.079987833,0.007233297,0.069359333,0.091942367
529,0.091375933,0.00790619,0.077042,0.106324667
530,0.102095333,0.007400297,0.084841467,0.116611
531,0.0754816,0.00662074,0.0604268,0.084978233
532,0.0821847,0.00452188,0.0699775,0.0877264
533,0.0863216,0.002886357,0.075357067,0.091430933
534,0.1119495,0.008242097,0.096470233,0.124583333
535,0.122508,0.006918663,0.1087927,0.136479333
536,0.130643,0.006183487,0.115939,0.137783
537,0.093339267,0.00670638,0.071593233,0.103997033
538,0.0996828,0.005482907,0.089067733,0.108246667
539,0.105723,0.004115343,0.093856,0.108246667
540,0.148391333,0.003409176,0.144308667,0.154031667
541,0.152465,0.00371172,0.144449333,0.156527333
542,0.156053333,0.00255474,0.149661333,0.162792333
543,0.12507,0.012047667,0.1016163,0.142297
544,0.143581333,0.01037029,0.124525667,0.164354333
545,0.160759333,0.00862389,0.140753,0.171939667
546,0.121124,0.006939313,0.103155467,0.129196667
547,0.127830333,0.003560367,0.115301333,0.131754333
548,0.132796667,0.00467506,0.123898,0.144435
